key,value,date
AAL,8407500,02/08/2013
AAL,8882000,02/11/2013
AAL,8126000,02/12/2013
AAL,10259500,02/13/2013
AAL,31879900,02/14/2013
AAL,15628000,02/15/2013
AAL,11354400,02/16/2013
AAL,14725200,02/17/2013
AAL,111922100,02/18/2013
AAL,6071400,02/19/2013
AAL,7186400,02/20/2013
AAL,9419000,02/21/2013
AAL,7390500,02/22/2013
AAL,6143600,02/23/2013
AAPL,158168416,02/08/2013
AAPL,129029425,02/11/2013
AAPL,151829363,02/12/2013
AAPL,118721995,02/13/2013
AAPL,88809154,02/14/2013
AAPL,97924631,02/15/2013
AAPL,108854046,02/16/2013
AAPL,118891367,02/17/2013
AAPL,111596821,02/18/2013
AAPL,82583823,02/19/2013
AAPL,92899597,02/20/2013
AAPL,125096657,02/21/2013
AAPL,146674682,02/22/2013
AAPL,80532382,02/23/2013
AMZN,3879078,02/08/2013
AMZN,3403403,02/11/2013
AMZN,2938660,02/12/2013
AMZN,5292996,02/13/2013
AMZN,3462780,02/14/2013
AMZN,3979832,02/15/2013
AMZN,2853752,02/16/2013
AMZN,3528862,02/17/2013
AMZN,3637396,02/18/2013
AMZN,3123402,02/19/2013
AMZN,3032109,02/20/2013
AMZN,3348011,02/21/2013
AMZN,2908010,02/22/2013
AMZN,2667199,02/23/2013
CSCO,2305685,02/08/2013
CSCO,33551332,02/11/2013
CSCO,46456472,02/12/2013
CSCO,63085496,02/13/2013
CSCO,67158759,02/14/2013
CSCO,44439532,02/15/2013
CSCO,45589907,02/16/2013
CSCO,47494547,02/17/2013
CSCO,33005814,02/18/2013
CSCO,20483295,02/19/2013
CSCO,37362549,02/20/2013
CSCO,34254647,02/21/2013
CSCO,25189601,02/22/2013
CSCO,30335762,02/23/2013